Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YOL058W,113.909,1.113,0.344,3.232,0.001229407,0.019344239
YEL050C,55.524,1.114,0.429,2.596,0.009422513,0.086367044
YCL059C,71.867,1.120,0.394,2.843,0.004466,0.050352579
YPL093W,303.237,1.123,0.278,4.038,5.40E-05,0.001562228
YMR260C,102.069,1.126,0.349,3.225,0.001257849,0.019615095
YDR161W,58.102,1.127,0.428,2.635,0.008415721,0.079725261
YKL021C,79.119,1.128,0.383,2.946,0.00322224,0.039683122
YKL205W,83.676,1.129,0.406,2.781,0.005414337,0.058834981
YLR129W,127.335,1.135,0.333,3.406,0.00065921,0.011993129
YLR359W,307.606,1.139,0.339,3.359,0.000780948,0.013790044
YBR142W,86.506,1.142,0.369,3.093,0.001980545,0.027978117
YNL002C,114.883,1.149,0.343,3.351,0.000805307,0.014099778
YBR172C,58.733,1.162,0.421,2.760,0.005781176,0.060626611
YAL049C,57.520,1.164,0.421,2.764,0.005703715,0.060189943
YGR145W,99.858,1.168,0.362,3.230,0.001236491,0.019344835
YAL025C,86.816,1.179,0.370,3.184,0.001454151,0.02224296
YLL011W,62.220,1.189,0.419,2.840,0.004507235,0.050698476
YML126C,738.563,1.201,0.246,4.890,1.01E-06,5.33E-05
YKL009W,134.954,1.204,0.325,3.707,0.000209725,0.004962111
YNR053C,107.282,1.204,0.362,3.325,0.000884976,0.015126478
YKR024C,45.730,1.205,0.467,2.583,0.009806896,0.088538578
YBR247C,86.358,1.210,0.384,3.148,0.001642956,0.024582927
YMR300C,99.371,1.210,0.405,2.985,0.002832897,0.035976899
YKL150W,134.923,1.210,0.333,3.637,0.000276313,0.006230665
YPR144C,75.529,1.211,0.387,3.127,0.001765845,0.025725852
YLR409C,103.650,1.215,0.358,3.391,0.000697189,0.012541563
YPL081W,631.227,1.215,0.272,4.464,8.03E-06,0.000326741
YMR145C,343.604,1.220,0.292,4.182,2.89E-05,0.000932227
YIL070C,100.027,1.234,0.399,3.094,0.001976261,0.027978117
YBR061C,44.095,1.236,0.466,2.653,0.007979806,0.076807635
YLR003C,46.985,1.245,0.460,2.704,0.00684824,0.068811922
YHR032W,75.121,1.252,0.399,3.139,0.00169545,0.02513347
YKL172W,129.210,1.264,0.331,3.823,0.000131719,0.00331229
YJR063W,57.714,1.267,0.434,2.917,0.003533391,0.042391398
YKL106W,39.913,1.269,0.485,2.618,0.008847664,0.082195997
YNR015W,42.730,1.270,0.482,2.634,0.008446008,0.079854675
YGR165W,43.371,1.281,0.487,2.631,0.008515936,0.08035764
YKL027W,62.577,1.282,0.411,3.120,0.001806416,0.026133178
YLR209C,37.792,1.301,0.502,2.592,0.009528803,0.086852994
YCL054W,105.724,1.321,0.361,3.656,0.000256342,0.005862902
YDR529C,74.529,1.327,0.389,3.409,0.000652305,0.011912632
YIR038C,61.679,1.337,0.414,3.231,0.001232425,0.019344239
YIR035C,40.603,1.343,0.498,2.696,0.00702762,0.070320127
YHR072W,90.913,1.350,0.380,3.549,0.000386718,0.007939848
YMR014W,35.493,1.368,0.514,2.661,0.007790086,0.075894081
YEL065W,117.428,1.377,0.403,3.420,0.000625327,0.011551719
YML091C,65.900,1.378,0.460,2.993,0.002766509,0.035433449
YHR196W,77.760,1.378,0.396,3.479,0.00050278,0.009737314
YHR030C,84.835,1.380,0.402,3.428,0.000608573,0.011285615
YGR211W,181.916,1.384,0.324,4.268,1.97E-05,0.000672387
YER060W,32.832,1.384,0.544,2.543,0.010998395,0.096741041
YOR145C,90.883,1.385,0.373,3.710,0.000207317,0.004929426
YGL107C,48.976,1.387,0.452,3.070,0.002143001,0.029577113
YOR342C,45.613,1.387,0.464,2.988,0.002811787,0.035917582
YHR088W,42.632,1.404,0.507,2.767,0.005662382,0.060189943
YFL002C,45.092,1.412,0.469,3.008,0.002628222,0.03420962
YPR119W,45.854,1.423,0.470,3.028,0.002459864,0.033348906
YNL182C,78.374,1.440,0.431,3.341,0.000836199,0.014551677
YNL110C,74.711,1.447,0.391,3.697,0.000217804,0.005102979
YLR179C,389.695,1.451,0.313,4.634,3.59E-06,0.000157191
YNL113W,41.789,1.454,0.489,2.973,0.002949263,0.03688883
YHR197W,96.045,1.456,0.366,3.975,7.04E-05,0.00189829
YMR008C,117.861,1.463,0.344,4.252,2.12E-05,0.000706341
YEL034W,1903.242,1.466,0.239,6.142,8.15E-10,9.79E-08
YNR019W,133.823,1.467,0.347,4.233,2.30E-05,0.000758056
YPR137W,65.499,1.467,0.424,3.456,0.000548051,0.010404753
YMR011W,440.856,1.472,0.299,4.919,8.69E-07,4.74E-05
YGR111W,43.693,1.480,0.474,3.119,0.001815453,0.026185052
YMR006C,260.157,1.480,0.315,4.697,2.64E-06,0.000120794
YLR099C,26.430,1.496,0.587,2.550,0.010769793,0.095437852
YJL122W,45.299,1.502,0.480,3.130,0.001748454,0.025681423
YEL024W,104.238,1.510,0.359,4.203,2.64E-05,0.000862249
YMR242C,1250.793,1.522,0.239,6.382,1.75E-10,2.21E-08
YCR087C-A,43.700,1.545,0.473,3.268,0.001082732,0.017530826
YDR465C,56.113,1.555,0.441,3.528,0.000418217,0.008369562
YBL054W,32.013,1.555,0.564,2.756,0.005851201,0.061227272
YPR190C,77.591,1.558,0.388,4.013,6.00E-05,0.001683872
YHR052W,117.224,1.562,0.353,4.420,9.85E-06,0.000371016
YOL158C,61.552,1.580,0.438,3.604,0.000312849,0.006738181
YPR143W,28.868,1.584,0.591,2.679,0.007393923,0.073072038
YDL150W,38.572,1.590,0.506,3.139,0.001692426,0.02513347
YPR020W,32.676,1.605,0.538,2.984,0.002846392,0.035976899
YHR066W,75.107,1.606,0.407,3.947,7.90E-05,0.002108556
YDR449C,57.169,1.615,0.447,3.614,0.00030154,0.006583158
YGR079W,50.551,1.629,0.473,3.447,0.000566684,0.010631961
YLR287C-A,40.814,1.649,0.583,2.829,0.004671459,0.052058047
YDR399W,165.350,1.655,0.350,4.723,2.32E-06,0.00010836
YHR169W,48.994,1.656,0.460,3.602,0.000315878,0.006773038
YAR015W,123.439,1.656,0.401,4.135,3.55E-05,0.001104164
YLR084C,39.684,1.685,0.524,3.217,0.001294085,0.020114852
YBR267W,55.289,1.685,0.444,3.800,0.000144675,0.003619146
YLR439W,46.099,1.690,0.475,3.561,0.000369397,0.007680578
YKL099C,29.253,1.704,0.593,2.872,0.004074429,0.047042023
YKL078W,39.114,1.736,0.514,3.375,0.000737919,0.013175557
YIL114C,42.397,1.761,0.493,3.574,0.00035139,0.007369976
YJR003C,54.117,1.764,0.453,3.894,9.85E-05,0.002558905
YBR244W,121.813,1.764,0.350,5.047,4.48E-07,2.69E-05
YNL052W,107.197,1.774,0.400,4.434,9.24E-06,0.000355172
YPL111W,140.337,1.777,0.394,4.508,6.53E-06,0.000270572
YKL120W,34.182,1.784,0.535,3.336,0.00084918,0.014724227
YOR065W,178.717,1.793,0.342,5.239,1.61E-07,1.07E-05
YHL040C,36.006,1.800,0.540,3.331,0.000864278,0.014878587
YDL063C,78.291,1.850,0.399,4.638,3.51E-06,0.000156171
YGR049W,37.650,1.857,0.523,3.549,0.000386826,0.007939848
YOL140W,24.940,1.860,0.620,3.001,0.002690252,0.034641499
YER069W,82.552,1.898,0.398,4.773,1.81E-06,8.89E-05
YLR435W,37.261,1.910,0.528,3.615,0.000300042,0.006583158
YBR085W,15.665,1.921,0.758,2.535,0.011245159,0.097668172
YMR134W,25.756,1.958,0.635,3.083,0.002046045,0.028650588
YPL141C,20.933,1.967,0.669,2.938,0.003299436,0.0402042
YNL141W,120.169,1.968,0.350,5.617,1.95E-08,1.70E-06
YKL029C,333.505,1.996,0.282,7.072,1.52E-12,2.61E-10
YCR037C,52.573,1.998,0.462,4.326,1.52E-05,0.000543641
YGR159C,805.570,2.002,0.263,7.615,2.64E-14,5.76E-12
YOR287C,18.566,2.019,0.738,2.735,0.006241274,0.064351786
YBR104W,26.072,2.035,0.636,3.200,0.001372603,0.021198106
YLR103C,14.563,2.036,0.795,2.559,0.010485281,0.093433771
YMR239C,19.765,2.041,0.703,2.903,0.003693821,0.043805979
YDR299W,58.772,2.055,0.448,4.586,4.51E-06,0.000191897
YPL214C,14.020,2.071,0.813,2.549,0.010812073,0.095636069
YFR055W,176.832,2.082,0.343,6.063,1.34E-09,1.50E-07
YKL166C,24.570,2.129,0.658,3.237,0.001209299,0.019106123
YML075C,250.257,2.140,0.302,7.084,1.40E-12,2.49E-10
YIL162W,126.609,2.143,0.362,5.926,3.11E-09,3.26E-07
YER044C,93.361,2.152,0.398,5.402,6.59E-08,5.03E-06
YNR066C,24.508,2.205,0.756,2.918,0.003524473,0.042391398
YJR048W,110.185,2.217,0.365,6.082,1.19E-09,1.39E-07
YMR009W,25.943,2.223,0.643,3.457,0.000546923,0.010404753
YHR137W,87.361,2.281,0.414,5.511,3.56E-08,2.95E-06
YMR120C,217.243,2.309,0.764,3.024,0.002494012,0.033504352
YGR183C,12.822,2.356,0.884,2.665,0.007696722,0.075443581
YHR071W,12.398,2.385,0.890,2.679,0.007388493,0.073072038
YGR142W,53.305,2.403,0.477,5.034,4.80E-07,2.85E-05
YNL111C,119.234,2.451,0.372,6.582,4.65E-11,6.20E-09
YGL211W,16.719,2.469,0.805,3.065,0.002173878,0.029917299
YLL012W,57.137,2.483,0.470,5.285,1.25E-07,8.99E-06
YAL040C,69.089,2.527,0.459,5.504,3.71E-08,3.02E-06
YOL014W,12.549,2.589,0.937,2.764,0.005714218,0.060189943
YOR319W,16.908,2.635,0.851,3.096,0.001962359,0.027885233
YKR046C,109.129,2.688,0.386,6.962,3.35E-12,5.55E-10
YDR380W,66.366,2.740,0.481,5.702,1.19E-08,1.10E-06
YGL117W,11.552,2.757,0.996,2.768,0.005633214,0.060189943
YKL201C,37.398,2.777,0.580,4.790,1.66E-06,8.41E-05
YLR460C,32.864,2.819,0.632,4.460,8.19E-06,0.000330481
YJL088W,35.338,2.974,0.610,4.876,1.09E-06,5.60E-05
YMR316W,18.977,3.017,0.823,3.668,0.000244381,0.005643098
YDR453C,9.474,3.232,1.157,2.794,0.005200791,0.05711998
YOR208W,11.727,3.294,1.086,3.033,0.002422751,0.03296452
YBR008C,10.821,3.305,1.097,3.014,0.002577627,0.034000816
YPL052W,9.899,3.544,1.002,3.536,0.000406418,0.008167466
YPR013C,21.613,3.564,0.836,4.263,2.02E-05,0.000682945
YER081W,137.506,3.752,0.428,8.776,1.69E-18,9.00E-16
YML002W,11.207,3.759,1.259,2.986,0.002828715,0.035976899
YLR205C,18.276,4.029,1.003,4.017,5.91E-05,0.001678362
YKL187C,7.198,4.372,1.576,2.774,0.005528995,0.05954207
YDR444W,7.323,4.394,1.573,2.794,0.005208943,0.05711998
YBR083W,7.459,4.415,1.566,2.819,0.004822831,0.053250706
YML081C-A,7.684,4.742,1.657,2.861,0.004221319,0.048389015
YPL088W,38.391,4.871,0.857,5.681,1.34E-08,1.19E-06
YPL171C,4.333,5.067,1.816,2.790,0.005277465,0.057739553
YOR032C,4.615,5.132,1.795,2.859,0.004246998,0.04856745
YHL043W,10.285,5.481,1.635,3.352,0.000803317,0.014099778
YJL108C,6.355,5.613,1.707,3.288,0.001008137,0.016754603
YHR049C-A,3.887,5.645,1.870,3.019,0.002539742,0.03380181
YNR060W,68.718,6.092,0.909,6.704,2.03E-11,3.05E-09
YDL231C,30.935,6.489,1.400,4.633,3.60E-06,0.000157191
YLR046C,38.187,6.685,1.388,4.817,1.46E-06,7.44E-05
YGR213C,20.692,7.310,1.547,4.726,2.29E-06,0.000107928
YDL039C,18.821,7.403,1.555,4.763,1.91E-06,9.28E-05
YJL213W,28.344,7.520,1.522,4.941,7.78E-07,4.34E-05
YLR411W,35.236,8.075,1.521,5.308,1.11E-07,8.15E-06
YGL088W,736.032,12.142,1.346,9.019,1.89E-19,1.14E-16
