Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YIL024C,18.316,-2.419,0.782,-3.092,0.001987242,0.007155219
YOR374W,439.305,-2.414,0.239,-10.115,4.72E-24,4.50E-22
YMR034C,73.120,-2.413,0.450,-5.363,8.18E-08,9.07E-07
YNR056C,110.087,-2.411,0.355,-6.793,1.10E-11,2.52E-10
YNL202W,23.232,-2.400,0.692,-3.466,0.000527412,0.00228531
YIL101C,48.855,-2.393,0.496,-4.826,1.39E-06,1.19E-05
YBR046C,152.799,-2.393,0.315,-7.590,3.20E-14,1.00E-12
YHL028W,97.660,-2.378,0.436,-5.448,5.09E-08,6.05E-07
YER190W,712.449,-2.369,0.231,-10.270,9.64E-25,1.01E-22
YOR273C,766.514,-2.355,0.213,-11.048,2.25E-28,3.71E-26
YPR014C,15.351,-2.353,0.838,-2.808,0.004988675,0.015663056
YER053C,207.754,-2.350,0.303,-7.749,9.24E-15,3.18E-13
YDR223W,112.402,-2.346,0.347,-6.765,1.34E-11,3.03E-10
YIL166C,89.349,-2.333,0.396,-5.886,3.96E-09,5.90E-08
YPL018W,335.599,-2.318,0.245,-9.471,2.78E-21,1.91E-19
YFL021W,142.307,-2.309,0.325,-7.112,1.15E-12,2.97E-11
YLR267W,214.538,-2.302,0.275,-8.360,6.26E-17,2.79E-15
YDL246C,12.880,-2.292,0.906,-2.530,0.011410106,0.031738187
YPL054W,10.621,-2.281,0.988,-2.310,0.020891509,0.052791832
YHR029C,192.762,-2.264,0.284,-7.967,1.63E-15,6.33E-14
YHR104W,284.464,-2.263,0.282,-8.034,9.45E-16,3.81E-14
YNL098C,500.619,-2.239,0.220,-10.163,2.89E-24,2.86E-22
YLR177W,184.245,-2.231,0.293,-7.610,2.74E-14,8.74E-13
YIL094C,521.949,-2.223,0.231,-9.610,7.28E-22,5.14E-20
YLL055W,94.359,-2.218,0.390,-5.687,1.29E-08,1.75E-07
YER079W,79.808,-2.212,0.467,-4.742,2.12E-06,1.72E-05
YER010C,112.788,-2.209,0.350,-6.313,2.73E-10,4.97E-09
YER188W,22.800,-2.204,0.720,-3.059,0.002219078,0.00784613
YFR015C,233.653,-2.203,0.282,-7.822,5.22E-15,1.90E-13
YOR190W,64.129,-2.192,0.433,-5.068,4.02E-07,3.81E-06
YGL081W,18.412,-2.191,0.775,-2.826,0.004713862,0.014903478
YFR053C,505.712,-2.188,0.243,-9.016,1.96E-19,1.20E-17
YDR350C,318.934,-2.184,0.256,-8.539,1.35E-17,6.74E-16
YNL173C,136.943,-2.183,0.318,-6.869,6.47E-12,1.55E-10
YDL124W,676.718,-2.171,0.208,-10.425,1.91E-25,2.12E-23
YJL116C,46.819,-2.166,0.494,-4.384,1.16E-05,7.90E-05
YDL078C,359.559,-2.165,0.236,-9.160,5.17E-20,3.27E-18
YFR022W,138.795,-2.160,0.323,-6.690,2.22E-11,4.88E-10
YLR329W,33.584,-2.157,0.584,-3.691,0.000223795,0.001090499
YIR028W,30.389,-2.152,0.597,-3.603,0.000315002,0.001479258
YPR007C,16.802,-2.151,0.786,-2.738,0.006184751,0.018799707
YJL185C,59.228,-2.151,0.463,-4.646,3.38E-06,2.59E-05
YLR345W,166.698,-2.148,0.314,-6.835,8.21E-12,1.94E-10
YGR052W,27.409,-2.140,0.686,-3.118,0.001817948,0.006617137
YHR097C,106.179,-2.139,0.350,-6.111,9.92E-10,1.63E-08
YDL022W,784.280,-2.138,0.203,-10.527,6.50E-26,7.86E-24
YGL179C,81.120,-2.128,0.387,-5.493,3.96E-08,4.89E-07
YOR368W,167.545,-2.128,0.312,-6.819,9.16E-12,2.13E-10
YDR506C,54.720,-2.119,0.476,-4.451,8.55E-06,6.00E-05
YJL043W,15.030,-2.110,0.826,-2.554,0.010636387,0.030000349
YJL153C,54.127,-2.108,0.459,-4.593,4.37E-06,3.28E-05
YPR001W,60.068,-2.106,0.443,-4.750,2.03E-06,1.66E-05
YLR251W,93.050,-2.101,0.385,-5.455,4.90E-08,5.84E-07
YOL101C,79.036,-2.083,0.396,-5.263,1.41E-07,1.47E-06
YIL155C,65.522,-2.075,0.475,-4.365,1.27E-05,8.59E-05
YIR034C,157.168,-2.066,0.322,-6.407,1.49E-10,2.80E-09
YBR183W,149.592,-2.066,0.339,-6.093,1.11E-09,1.80E-08
YJR154W,34.732,-2.062,0.562,-3.669,0.000243794,0.001175313
YLR286C,1661.853,-2.062,0.223,-9.233,2.64E-20,1.71E-18
YER072W,896.380,-2.050,0.236,-8.674,4.17E-18,2.14E-16
YIL164C,47.842,-2.043,0.466,-4.390,1.14E-05,7.73E-05
YEL011W,229.789,-2.041,0.270,-7.566,3.84E-14,1.19E-12
YER088C,659.979,-2.036,0.212,-9.626,6.20E-22,4.49E-20
YHL008C,118.735,-2.035,0.332,-6.121,9.28E-10,1.54E-08
YDR074W,1280.066,-2.029,0.201,-10.077,6.96E-24,6.31E-22
YER119C,277.696,-2.019,0.261,-7.744,9.61E-15,3.29E-13
YGR130C,291.034,-2.007,0.246,-8.156,3.46E-16,1.41E-14
YLL060C,70.399,-2.000,0.417,-4.794,1.63E-06,1.36E-05
YBR093C,2373.694,-1.999,0.192,-10.432,1.78E-25,2.06E-23
YBR013C,45.156,-1.998,0.480,-4.160,3.18E-05,0.000194971
YJL012C,2088.528,-1.998,0.187,-10.701,1.01E-26,1.40E-24
YHR067W,56.579,-1.995,0.492,-4.054,5.03E-05,0.000294188
YLR400W,21.444,-1.990,0.706,-2.820,0.004807162,0.015180804
YDR481C,1035.770,-1.988,0.205,-9.677,3.79E-22,2.86E-20
YMR114C,40.792,-1.971,0.529,-3.726,0.000194533,0.000963452
YPL264C,45.243,-1.970,0.509,-3.871,0.000108348,0.000571481
YJR103W,360.453,-1.963,0.236,-8.316,9.12E-17,3.94E-15
YMR030W,70.394,-1.961,0.405,-4.841,1.29E-06,1.12E-05
YMR262W,141.773,-1.961,0.314,-6.245,4.25E-10,7.48E-09
YGR201C,61.888,-1.960,0.447,-4.389,1.14E-05,7.74E-05
YDR171W,248.094,-1.959,0.269,-7.278,3.39E-13,9.27E-12
YDR031W,16.543,-1.959,0.790,-2.479,0.013164619,0.035705335
YGR254W,5944.506,-1.956,0.189,-10.375,3.24E-25,3.52E-23
YER187W,15.935,-1.952,0.799,-2.443,0.014566021,0.03894298
YJL106W,120.551,-1.948,0.355,-5.494,3.93E-08,4.87E-07
YKL171W,121.988,-1.941,0.325,-5.969,2.39E-09,3.69E-08
YOR386W,112.974,-1.940,0.345,-5.617,1.94E-08,2.54E-07
YPL017C,507.425,-1.936,0.215,-9.005,2.16E-19,1.30E-17
YPL230W,41.856,-1.935,0.506,-3.827,0.000129814,0.000667861
YIL120W,102.299,-1.933,0.351,-5.508,3.63E-08,4.53E-07
YHR143W,575.493,-1.928,0.238,-8.089,6.01E-16,2.44E-14
YHR006W,515.339,-1.926,0.216,-8.930,4.26E-19,2.49E-17
YBR280C,112.050,-1.925,0.341,-5.642,1.68E-08,2.23E-07
YDL182W,514.063,-1.916,0.258,-7.423,1.14E-13,3.25E-12
YIL136W,100.511,-1.915,0.357,-5.365,8.09E-08,9.02E-07
YHR171W,105.856,-1.914,0.355,-5.384,7.30E-08,8.19E-07
YJR127C,335.116,-1.901,0.243,-7.828,4.94E-15,1.83E-13
YBR177C,526.743,-1.891,0.227,-8.339,7.49E-17,3.31E-15
YJL016W,345.857,-1.890,0.237,-7.968,1.61E-15,6.31E-14
YBL029C-A,44.515,-1.888,0.474,-3.981,6.87E-05,0.000384903
YGL248W,159.179,-1.882,0.298,-6.308,2.83E-10,5.11E-09
YPR081C,87.728,-1.879,0.404,-4.656,3.22E-06,2.49E-05
YKL103C,295.396,-1.874,0.278,-6.745,1.53E-11,3.46E-10
YJL157C,227.411,-1.872,0.323,-5.797,6.74E-09,9.64E-08
YOR153W,3452.711,-1.859,0.174,-10.699,1.03E-26,1.40E-24
YPL087W,319.273,-1.851,0.243,-7.610,2.75E-14,8.74E-13
YML087C,35.115,-1.850,0.542,-3.417,0.00063398,0.002693426
YOL083W,65.835,-1.850,0.426,-4.340,1.43E-05,9.50E-05
YLR097C,131.935,-1.848,0.316,-5.841,5.18E-09,7.53E-08
YDL199C,73.915,-1.845,0.424,-4.356,1.32E-05,8.90E-05
YDR124W,67.057,-1.841,0.423,-4.356,1.32E-05,8.90E-05
YML131W,328.242,-1.838,0.256,-7.170,7.48E-13,1.97E-11
YLR037C,27.039,-1.827,0.619,-2.950,0.003178245,0.010708361
YDR066C,78.783,-1.820,0.381,-4.775,1.80E-06,1.49E-05
YOR130C,105.274,-1.818,0.341,-5.334,9.62E-08,1.05E-06
YOR185C,130.612,-1.817,0.321,-5.652,1.58E-08,2.11E-07
YLR164W,80.316,-1.816,0.378,-4.799,1.59E-06,1.33E-05
YKL051W,349.485,-1.813,0.241,-7.519,5.53E-14,1.66E-12
YJR094C,45.717,-1.810,0.507,-3.570,0.000356334,0.001646343
YMR297W,1439.254,-1.808,0.186,-9.720,2.48E-22,1.98E-20
YCR021C,62.779,-1.808,0.438,-4.127,3.68E-05,0.000222957
YNL055C,1892.465,-1.808,0.179,-10.101,5.45E-24,5.02E-22
YDL008W,79.345,-1.800,0.381,-4.725,2.30E-06,1.85E-05
YBR126C,1376.761,-1.798,0.185,-9.696,3.13E-22,2.47E-20
YGR008C,86.285,-1.795,0.373,-4.818,1.45E-06,1.23E-05
YLR256W,1065.930,-1.795,0.191,-9.404,5.23E-21,3.51E-19
YBR293W,98.982,-1.792,0.362,-4.951,7.40E-07,6.70E-06
YJR059W,444.119,-1.784,0.251,-7.095,1.29E-12,3.30E-11
YOR264W,599.372,-1.781,0.216,-8.248,1.61E-16,6.78E-15
YPL123C,136.409,-1.780,0.309,-5.760,8.41E-09,1.18E-07
YOR285W,237.290,-1.765,0.282,-6.253,4.03E-10,7.12E-09
YOL151W,776.888,-1.763,0.233,-7.557,4.14E-14,1.28E-12
YBR067C,658.946,-1.762,0.222,-7.947,1.92E-15,7.34E-14
YPL156C,140.614,-1.759,0.312,-5.641,1.69E-08,2.23E-07
YJL055W,181.646,-1.747,0.284,-6.145,7.98E-10,1.35E-08
YOR175C,502.009,-1.744,0.232,-7.513,5.78E-14,1.73E-12
YOL047C,31.520,-1.744,0.571,-3.053,0.00226746,0.007991216
YML051W,202.555,-1.741,0.308,-5.659,1.53E-08,2.04E-07
YJL059W,156.115,-1.740,0.333,-5.220,1.79E-07,1.80E-06
YDR272W,170.202,-1.734,0.378,-4.584,4.57E-06,3.42E-05
YJL137C,132.274,-1.730,0.326,-5.309,1.10E-07,1.18E-06
YOR316C,293.502,-1.730,0.254,-6.809,9.82E-12,2.26E-10
YDL131W,694.737,-1.725,0.203,-8.502,1.86E-17,9.06E-16
YJL141C,371.851,-1.724,0.231,-7.455,9.00E-14,2.62E-12
YPL188W,194.643,-1.724,0.280,-6.166,7.02E-10,1.20E-08
YJL093C,172.047,-1.721,0.288,-5.975,2.30E-09,3.55E-08
YJR060W,307.188,-1.716,0.256,-6.695,2.16E-11,4.75E-10
YKR005C,24.380,-1.713,0.714,-2.401,0.016364962,0.042764376
YPR184W,90.077,-1.711,0.363,-4.710,2.48E-06,1.99E-05
YHR184W,16.652,-1.710,0.764,-2.239,0.025161582,0.06144081
YKL091C,128.293,-1.706,0.315,-5.416,6.09E-08,7.03E-07
YMR130W,149.067,-1.702,0.310,-5.495,3.91E-08,4.86E-07
YGR067C,24.206,-1.699,0.651,-2.612,0.008998582,0.026015038
YNR014W,51.901,-1.693,0.475,-3.561,0.000369451,0.00169114
YHL024W,138.170,-1.693,0.312,-5.418,6.04E-08,6.98E-07
YIL011W,71.659,-1.689,0.447,-3.776,0.000159508,0.000803152
YHL032C,212.554,-1.684,0.267,-6.305,2.88E-10,5.18E-09
YHR161C,345.886,-1.682,0.253,-6.655,2.83E-11,6.07E-10
YDR100W,100.633,-1.677,0.353,-4.749,2.05E-06,1.67E-05
YLR070C,48.175,-1.671,0.481,-3.477,0.000506238,0.00221118
YLL041C,145.921,-1.670,0.310,-5.392,6.98E-08,7.90E-07
YDL216C,97.400,-1.663,0.355,-4.688,2.77E-06,2.20E-05
YBR138C,142.318,-1.662,0.319,-5.201,1.98E-07,1.98E-06
YPL113C,85.802,-1.659,0.390,-4.259,2.06E-05,0.000131169
YDL048C,90.219,-1.658,0.369,-4.489,7.16E-06,5.13E-05
YPL191C,76.169,-1.656,0.383,-4.320,1.56E-05,0.000103142
YJL196C,643.381,-1.654,0.249,-6.634,3.27E-11,6.91E-10
YLR349W,18.469,-1.653,0.728,-2.270,0.023221691,0.057378577
YMR062C,265.493,-1.651,0.259,-6.365,1.96E-10,3.62E-09
YLR092W,101.287,-1.651,0.354,-4.667,3.06E-06,2.39E-05
YNL046W,111.608,-1.650,0.334,-4.946,7.59E-07,6.83E-06
YJL206C,180.587,-1.650,0.309,-5.344,9.11E-08,1.00E-06
YHR210C,71.013,-1.646,0.411,-4.004,6.23E-05,0.00035472
YEL064C,98.662,-1.642,0.353,-4.655,3.24E-06,2.50E-05
YGR286C,169.971,-1.634,0.301,-5.431,5.61E-08,6.61E-07
YHR180W,28.280,-1.629,0.592,-2.751,0.005938924,0.018143745
YKL142W,408.487,-1.628,0.252,-6.466,1.01E-10,1.97E-09
YGL053W,33.665,-1.623,0.734,-2.211,0.027037369,0.065346318
YMR279C,77.000,-1.619,0.401,-4.039,5.37E-05,0.000312904
YLR284C,48.389,-1.618,0.462,-3.503,0.000459226,0.002031954
YKR015C,79.609,-1.618,0.377,-4.293,1.76E-05,0.000115061
YNL194C,24.048,-1.607,0.635,-2.533,0.011323579,0.031571818
YHR018C,492.928,-1.604,0.230,-6.982,2.92E-12,7.28E-11
YOR289W,28.677,-1.599,0.589,-2.714,0.006641947,0.020064125
YLR312C,20.270,-1.596,0.689,-2.317,0.020492064,0.051830624
YFR007W,105.051,-1.594,0.368,-4.333,1.47E-05,9.75E-05
YIL124W,476.488,-1.590,0.222,-7.174,7.27E-13,1.94E-11
YOL152W,160.889,-1.566,0.356,-4.401,1.08E-05,7.38E-05
YLR266C,376.036,-1.565,0.238,-6.582,4.63E-11,9.57E-10
YIL014W,235.321,-1.561,0.306,-5.096,3.47E-07,3.33E-06
YIL050W,149.592,-1.558,0.298,-5.229,1.71E-07,1.74E-06
YMR111C,92.758,-1.558,0.386,-4.038,5.39E-05,0.000313336
YHR016C,215.439,-1.558,0.263,-5.918,3.27E-09,4.96E-08
YNL015W,24.576,-1.556,0.653,-2.384,0.01713342,0.044430872
YPR160W,177.577,-1.555,0.287,-5.424,5.83E-08,6.79E-07
YPR036W-A,653.015,-1.549,0.208,-7.444,9.80E-14,2.82E-12
YCR023C,317.860,-1.549,0.255,-6.073,1.26E-09,2.02E-08
YPL203W,225.497,-1.542,0.275,-5.613,1.99E-08,2.59E-07
YBR056W,352.408,-1.541,0.230,-6.709,1.97E-11,4.38E-10
YPR128C,259.494,-1.540,0.267,-5.770,7.93E-09,1.12E-07
YHR112C,205.858,-1.536,0.266,-5.782,7.40E-09,1.05E-07
YBR250W,29.988,-1.519,0.569,-2.668,0.007633554,0.022696153
YDR441C,90.954,-1.509,0.354,-4.268,1.97E-05,0.000127286
YHL014C,161.011,-1.509,0.289,-5.220,1.79E-07,1.80E-06
YOR321W,217.115,-1.506,0.266,-5.658,1.53E-08,2.05E-07
YPL250C,132.748,-1.504,0.312,-4.818,1.45E-06,1.23E-05
YGR258C,107.016,-1.497,0.378,-3.956,7.62E-05,0.000420497
YDL059C,38.573,-1.496,0.513,-2.918,0.003521718,0.011634934
YLR142W,68.244,-1.496,0.401,-3.725,0.00019501,0.000964059
YKL100C,554.864,-1.489,0.216,-6.889,5.63E-12,1.37E-10
YJL132W,156.679,-1.486,0.295,-5.031,4.88E-07,4.52E-06
YHR087W,64.756,-1.485,0.411,-3.611,0.000305212,0.00143825
YBR018C,49.787,-1.484,0.483,-3.072,0.002125536,0.007569525
YKL006C-A,65.209,-1.482,0.416,-3.563,0.000367252,0.00168249
YNR050C,283.192,-1.480,0.249,-5.944,2.78E-09,4.26E-08
YPR078C,56.879,-1.476,0.428,-3.452,0.000556872,0.002401481
YPL004C,1693.273,-1.469,0.186,-7.892,2.97E-15,1.12E-13
YDR122W,253.552,-1.468,0.251,-5.849,4.94E-09,7.22E-08
YGR268C,92.003,-1.467,0.351,-4.177,2.95E-05,0.000183076
YGR112W,116.484,-1.467,0.353,-4.159,3.19E-05,0.000195396
YNL115C,183.973,-1.466,0.279,-5.256,1.47E-07,1.52E-06
YEL052W,338.243,-1.464,0.238,-6.141,8.21E-10,1.38E-08
YGR015C,120.735,-1.458,0.317,-4.594,4.35E-06,3.27E-05
YMR056C,53.525,-1.452,0.440,-3.300,0.000965272,0.00382034
YFL029C,132.792,-1.451,0.310,-4.674,2.95E-06,2.31E-05
